Date,Datetime,Month,AccountNumber,Quantity,UnitOfMeasure,SettlementPointPrice,PriceUnits,Price
5/26/2022,5/26/2022 0:00,May,account_a,1.25925,kWh,61.32,$/MWh,0.06132
5/26/2022,5/26/2022 0:00,May,account_b,97.359,kWh,61.32,$/MWh,0.06132
5/26/2022,5/26/2022 1:00,May,account_a,1.2765,kWh,57.71,$/MWh,0.05771
5/26/2022,5/26/2022 1:00,May,account_b,94.047,kWh,57.71,$/MWh,0.05771
5/26/2022,5/26/2022 2:00,May,account_a,1.25925,kWh,53.56,$/MWh,0.05356
5/26/2022,5/26/2022 2:00,May,account_b,96.876,kWh,53.56,$/MWh,0.05356
5/26/2022,5/26/2022 3:00,May,account_a,0.98325,kWh,50.04,$/MWh,0.05004
5/26/2022,5/26/2022 3:00,May,account_b,98.808,kWh,50.04,$/MWh,0.05004
5/26/2022,5/26/2022 4:00,May,account_a,1.25925,kWh,48.93,$/MWh,0.04893
5/26/2022,5/26/2022 4:00,May,account_b,99.36,kWh,48.93,$/MWh,0.04893
5/26/2022,5/26/2022 5:00,May,account_a,0.966,kWh,54.16,$/MWh,0.05416
5/26/2022,5/26/2022 5:00,May,account_b,105.639,kWh,54.16,$/MWh,0.05416
5/26/2022,5/26/2022 6:00,May,account_a,1.25925,kWh,60.66,$/MWh,0.06066
5/26/2022,5/26/2022 6:00,May,account_b,143.037,kWh,60.66,$/MWh,0.06066
5/26/2022,5/26/2022 7:00,May,account_a,1.2765,kWh,62.22,$/MWh,0.06222
5/26/2022,5/26/2022 7:00,May,account_b,161.736,kWh,62.22,$/MWh,0.06222
5/26/2022,5/26/2022 8:00,May,account_a,1.9665,kWh,57.38,$/MWh,0.05738
5/26/2022,5/26/2022 8:00,May,account_b,167.118,kWh,57.38,$/MWh,0.05738
5/26/2022,5/26/2022 9:00,May,account_a,2.25975,kWh,61.34,$/MWh,0.06134
5/26/2022,5/26/2022 9:00,May,account_b,176.433,kWh,61.34,$/MWh,0.06134
5/26/2022,5/26/2022 10:00,May,account_a,2.691,kWh,63.03,$/MWh,0.06303
5/26/2022,5/26/2022 10:00,May,account_b,185.541,kWh,63.03,$/MWh,0.06303
5/26/2022,5/26/2022 11:00,May,account_a,3.53625,kWh,71.08,$/MWh,0.07108
5/26/2022,5/26/2022 11:00,May,account_b,194.58,kWh,71.08,$/MWh,0.07108
5/26/2022,5/26/2022 12:00,May,account_a,3.657,kWh,73.93,$/MWh,0.07393
5/26/2022,5/26/2022 12:00,May,account_b,183.126,kWh,73.93,$/MWh,0.07393
5/26/2022,5/26/2022 13:00,May,account_a,4.002,kWh,82.57,$/MWh,0.08257
5/26/2022,5/26/2022 13:00,May,account_b,178.641,kWh,82.57,$/MWh,0.08257
5/26/2022,5/26/2022 14:00,May,account_a,4.29525,kWh,99.93,$/MWh,0.09993
5/26/2022,5/26/2022 14:00,May,account_b,169.395,kWh,99.93,$/MWh,0.09993
5/26/2022,5/26/2022 15:00,May,account_a,3.26025,kWh,142.04,$/MWh,0.14204
5/26/2022,5/26/2022 15:00,May,account_b,166.428,kWh,142.04,$/MWh,0.14204
5/26/2022,5/26/2022 16:00,May,account_a,3.0015,kWh,167.37,$/MWh,0.16737
5/26/2022,5/26/2022 16:00,May,account_b,168.774,kWh,167.37,$/MWh,0.16737
5/26/2022,5/26/2022 17:00,May,account_a,4.002,kWh,153.77,$/MWh,0.15377
5/26/2022,5/26/2022 17:00,May,account_b,151.179,kWh,153.77,$/MWh,0.15377
5/26/2022,5/26/2022 18:00,May,account_a,3.4155,kWh,109.48,$/MWh,0.10948
5/26/2022,5/26/2022 18:00,May,account_b,124.959,kWh,109.48,$/MWh,0.10948
5/26/2022,5/26/2022 19:00,May,account_a,3.036,kWh,141.37,$/MWh,0.14137
5/26/2022,5/26/2022 19:00,May,account_b,96.186,kWh,141.37,$/MWh,0.14137
5/26/2022,5/26/2022 20:00,May,account_a,2.829,kWh,145.67,$/MWh,0.14567
5/26/2022,5/26/2022 20:00,May,account_b,93.357,kWh,145.67,$/MWh,0.14567
5/26/2022,5/26/2022 21:00,May,account_a,2.0355,kWh,93.56,$/MWh,0.09356
5/26/2022,5/26/2022 21:00,May,account_b,91.839,kWh,93.56,$/MWh,0.09356
5/26/2022,5/26/2022 22:00,May,account_a,2.25975,kWh,78.07,$/MWh,0.07807
5/26/2022,5/26/2022 22:00,May,account_b,91.011,kWh,78.07,$/MWh,0.07807
5/26/2022,5/26/2022 23:00,May,account_a,2.15625,kWh,64.68,$/MWh,0.06468
5/26/2022,5/26/2022 23:00,May,account_b,87.423,kWh,64.68,$/MWh,0.06468
5/27/2022,5/27/2022 0:00,May,account_a,1.88025,kWh,63.99,$/MWh,0.06399
5/27/2022,5/27/2022 0:00,May,account_b,87.63,kWh,63.99,$/MWh,0.06399
5/27/2022,5/27/2022 1:00,May,account_a,1.7595,kWh,59.43,$/MWh,0.05943
5/27/2022,5/27/2022 1:00,May,account_b,87.906,kWh,59.43,$/MWh,0.05943
5/27/2022,5/27/2022 2:00,May,account_a,1.67325,kWh,49.94,$/MWh,0.04994
5/27/2022,5/27/2022 2:00,May,account_b,86.733,kWh,49.94,$/MWh,0.04994
5/27/2022,5/27/2022 3:00,May,account_a,1.725,kWh,44.29,$/MWh,0.04429
5/27/2022,5/27/2022 3:00,May,account_b,86.94,kWh,44.29,$/MWh,0.04429
5/27/2022,5/27/2022 4:00,May,account_a,1.67325,kWh,50.23,$/MWh,0.05023
5/27/2022,5/27/2022 4:00,May,account_b,91.149,kWh,50.23,$/MWh,0.05023
5/27/2022,5/27/2022 5:00,May,account_a,1.46625,kWh,56.51,$/MWh,0.05651
5/27/2022,5/27/2022 5:00,May,account_b,91.839,kWh,56.51,$/MWh,0.05651
5/27/2022,5/27/2022 6:00,May,account_a,1.56975,kWh,72.02,$/MWh,0.07202
5/27/2022,5/27/2022 6:00,May,account_b,128.34,kWh,72.02,$/MWh,0.07202
5/27/2022,5/27/2022 7:00,May,account_a,1.60425,kWh,71.19,$/MWh,0.07119
5/27/2022,5/27/2022 7:00,May,account_b,138.552,kWh,71.19,$/MWh,0.07119
5/27/2022,5/27/2022 8:00,May,account_a,2.67375,kWh,62.75,$/MWh,0.06275
5/27/2022,5/27/2022 8:00,May,account_b,150.903,kWh,62.75,$/MWh,0.06275
5/27/2022,5/27/2022 9:00,May,account_a,3.4155,kWh,65.21,$/MWh,0.06521
5/27/2022,5/27/2022 9:00,May,account_b,176.64,kWh,65.21,$/MWh,0.06521
5/27/2022,5/27/2022 10:00,May,account_a,3.9675,kWh,77.07,$/MWh,0.07707
5/27/2022,5/27/2022 10:00,May,account_b,184.161,kWh,77.07,$/MWh,0.07707
5/27/2022,5/27/2022 11:00,May,account_a,4.554,kWh,94.7,$/MWh,0.0947
5/27/2022,5/27/2022 11:00,May,account_b,183.126,kWh,94.7,$/MWh,0.0947
5/27/2022,5/27/2022 12:00,May,account_a,4.53675,kWh,113.3,$/MWh,0.1133
5/27/2022,5/27/2022 12:00,May,account_b,175.053,kWh,113.3,$/MWh,0.1133
5/27/2022,5/27/2022 13:00,May,account_a,4.91625,kWh,161.22,$/MWh,0.16122
5/27/2022,5/27/2022 13:00,May,account_b,168.705,kWh,161.22,$/MWh,0.16122
5/27/2022,5/27/2022 14:00,May,account_a,5.43375,kWh,213.82,$/MWh,0.21382
5/27/2022,5/27/2022 14:00,May,account_b,164.634,kWh,213.82,$/MWh,0.21382
5/27/2022,5/27/2022 15:00,May,account_a,3.3465,kWh,297.86,$/MWh,0.29786
5/27/2022,5/27/2022 15:00,May,account_b,166.635,kWh,297.86,$/MWh,0.29786
5/27/2022,5/27/2022 16:00,May,account_a,4.347,kWh,358.32,$/MWh,0.35832
5/27/2022,5/27/2022 16:00,May,account_b,160.425,kWh,358.32,$/MWh,0.35832
5/27/2022,5/27/2022 17:00,May,account_a,4.01925,kWh,241.16,$/MWh,0.24116
5/27/2022,5/27/2022 17:00,May,account_b,159.39,kWh,241.16,$/MWh,0.24116
5/27/2022,5/27/2022 18:00,May,account_a,4.22625,kWh,141.6,$/MWh,0.1416
5/27/2022,5/27/2022 18:00,May,account_b,130.341,kWh,141.6,$/MWh,0.1416
5/27/2022,5/27/2022 19:00,May,account_a,3.15675,kWh,135.62,$/MWh,0.13562
5/27/2022,5/27/2022 19:00,May,account_b,91.908,kWh,135.62,$/MWh,0.13562
5/27/2022,5/27/2022 20:00,May,account_a,3.0015,kWh,100.61,$/MWh,0.10061
5/27/2022,5/27/2022 20:00,May,account_b,93.702,kWh,100.61,$/MWh,0.10061
